,generated text
0,A woman is seen holding a baby and then turning around and heading towards the baby's mouth. The baby's mouth opens and a green fog of smoke enters the room.
1,"A woman is heard choking and then a large explosion blasts a hole into the wall. The scene changes to the Candy Kingdom, where Princess Bubblegum is waiting."
2,A woman is seen cheering in the background.
3,"A woman is standing next to a man, who is trying to talk to her."
4,A woman is speaking to Finn.
5,A woman is seen picking up a book.
6,"A woman is seen looking over at Finn, who is still eating a cereal with a ticker tape."
7,A woman is on the run from the monster.
8,A woman is heard choking. The scene changes. Finn is lying on the ground in the alleyway. His belt is missing.
9,"A woman is strolling through the streets, carrying an oversized banana."
10,A man is playing a video game with a plastic bag full of eggs.
11,A man is seen screaming as a camera cuts out. The scene changes to daytime. Finn is seen walking over to the camera and carrying a small box of papers. He is later seen carrying a plastic bag full of eggs.
12,A man is shown standing next to a set of penguins. Finn and Jake both scream as they are transported to a new dimension.
13,"A man is lying face down in a pile of sand, looking at a picture of an ancient, powerful alien civilization."
14,"A man is sat at a table reading a comic. A few seconds later, he notices a note on the back of his wrist. It reads ""THIS CHAPTER IS A TRYING AND BMO'S MIND""."
15,"A man is shown flying through the portal with Flame Princess, who is also flying through the portal."
16,A man is seen leaving the scene behind by a camera recording the encounter.
17,A man is sat on a deck of La Femme Du La Mer. The scene changes to the ruins of Neptrne.
18,"A man is standing outside, speaking to a camera. The scene changes to the Candy Kingdom, where Princess Bubblegum is sat in a booth. She has a pair of eyepatches, and a megaphone."
19,A man is seen leaving the party.
20,A person is shown as Finn and Jake.
21,"A person is shown reading a screen reading ""My Green Knight fantasy sword!"""
22,"A person is seen standing next to a painting of a horse and a cake person, both wearing head lint. A cake person is seen eating the cake person's cake person's cake person's cake person's cake person's cake person's cake person"
23,A person is seen choking to death on the street.
24,A person is shown wearing a baseball cap and carrying a small pot.
25,A person is seen running away and Jake turns into Fern.
26,A person is seen departing the ship and entering the water.
27,A person is shown reading a note and entering through the front door.
28,"A person is shown reading a note on a wall reading ""THIS IS A MOMENT""."
29,A person is seen snatching up the Panzark and carrying it outside.
30,Finn is still uneasy.
31,"Finn is hanging upside down from the ceiling, and the room is silent. A ghost approaches Finn and Fern. A ghost approaches Finn with a pancake face, and Fern gasps. A ghost approaches Finn and Fern."
32,Finn is seen snatching a sandwich from the waiter.
33,"Finn is about to make a startling, terrifying decision. He shapeshifts to look like a giant butterfly; his whole body shapeshifts to resemble a butterfly's bellybutton."
34,"Finn is sat on the deck of La Femme Du La Mer. The scene changes back to the present. Finn is in the present, watching the wedding photos while Kim Kil Whan is on deck."
35,"Finn is in a wheelchair, reading the newspaper."
36,Finn is wearing a baseball cap and tie over his regular gear.
37,Finn is seen by Fern screaming as he drops the axe to the ground.
38,Finn is standing in front of a mirror. A silhouette of Gumbald appears next to Finn.
39,"Finn is talking to Jake, and Jake says Fern, what's up with you?"
40,"Finn is not amused. ""I'm kind of a clown, too, but I'm not a clown or anything like that. But I'm pretty good at humor, right?"""
41,"Finn is not wearing the crown and is standing in a row behind Fern, holding a box full of letters."
42,Finn is not amused.
43,Finn is not amused. He notices a note on the wall.
44,Finn is not amused. The scene changes to the Candy Kingdom. Finn and BMO are standing on a dock and cheering.
45,"Finn is not sure what it's like to be Jake's dad, but he's pretty disgusted with his situation."
46,"Finn is not amused. He quickly fixes the rear of the suit, revealing that it is made of an even stronger version of Rap Bear's head."
47,Finn is not amused. She looks up and smiles at Fern.
48,Finn is not amused.
49,"Finn is not amused. Shouting over the noise, he points to the Tree Fort."
50,"Finn thinks it's funny that BMO was so polite to him, and he was so polite to himself."
51,"Finn thinks  Yeah, I guess."
52,"Finn thinks Jake is funny, and he's doing a great job."
53,Finn thinks It's okay. I'm here to see my dad.
54,Finn thinks We have to leave!
55,Finn thinks about something.
56,Finn thinks about what he's got next.
57,Finn thinks of Jake as someone who really cares about ghosts and stuff.
58,Finn thinks of Jake as a ghost; laughs.
59,Finn thinks Jake is doing something really stupid in the world.
60,Finn does not think twice. He leaps onto the nearby boulder and blocks it with his foot. A nearby boulder explodes and the whole Green Knight army retreats.
61,Finn does not think Jake will understand the significance of his birthday present.
62,Finn does not think angrily. He just laughs and then turns around and faces the wall.
63,"Finn does not think that is a very good idea, and so he scoffs at the grassy."
64,"Finn does not think that's a stretch, but Fern's head is blown off by a blast of sand. He looks up at the ceiling and gasps. There is a thud."
65,Finn does not think twice before talking to Fern.
66,Finn does not think twice about trying to eat Ice King's brains out.
67,"Finn does not think about Marceline, but instead makes a plan to enter the Candy Kingdom with Jake."
68,Finn does not think twice before returning. He approaches the Candy Kingdom with a vigorous pitch-perfecting pitch war horn.
69,Finn does not think that means a lot. He thinks that means that Ice King is dead.
70,"Finn's emotions are racing as he struggles to keep the Cake flying. The Cake flies at him, but Finn just keeps flying."
71,"Finn's emotions are red, and Jake is biting at his arm."
72,"Finn's emotions are strong, but suddenly restrained by the handcuffs."
73,"Finn's emotions are low, and he is still angry."
74,"Finn's emotions are not strong, so he uses the Night Sword to strike a wall."
75,"Finn's emotions are clear, and he begins to empathize with Fern."
