,text
0,The episode opens at the Royal Candy Vault in the Candy Kingdom. It is night time. Two Banana Guards stand watch outside the dormitory.
1,Right Guard says I'm scared it'll come back tonight.
2,Left Guard says Me too.
3,Right Guard says Can we hold hands?
4,Left Guard says I need my hand to hold my spear.
5,Right Guard says Why don't you use your other hand?
6,"Left Guard says Oh, that's a good idea. He holds out his hand."
7,Right Guard says But... I need this hand to hold my spear.
8,Left Guard says Use your other one.
9,"Right Guard says Tries to reach the other guard's left hand with his own left hand. Aw, it won't reach."
10,Left Guard says Oh no.
11,Right Guard says Wait! He turns around to face the wall so that they can hold each other's left hands.
12,Left Guard says Oh-
13,Both guards says Together Oh!
14,Left Guard says Hooray.
15,Right Guard says Facing the wall This is less scary because now I won't see the monster coming.
16,"A growling is heard. The guard facing the wall hears it, but the guard on the left doesn't because he has been distracted by his own spear."
17,"Left Guard says Wow. You know, I just noticed these things have rings on the end. It must be for blowing bubbles. Twirls spear."
18,"They both scream as they are snatched away by the hand of a monster. There is a slurping sound and they go quiet. Brown ooze begins to seep towards the dormitory entrance, followed by the monster itself. It pushes the doors open, where there are many banana guards sleeping in bunks. It grabs one of them."
19,Banana Guard says Huh? Screams It's back!
20,"The monster hisses and spits ooze onto the guard's face, muffling him. He grabs another guard and does the same."
21,Banana Guard says Huh?
22,"The monster grabs a third guard, but it shapeshifts and is revealed to be Jake the Dog in disguise."
23,"Jake says Surprise! He bites the monster's hand and latches on. Finn, get in here! He and the monster continue fighting."
24,Finn sits up from one of the bunks. He is also in a banana guard disguise.
25,"Finn says Hmm. Okay. Yeah! He draws his sword. Sic em, Jake! Ha! He jumps down from the bunk onto the monster's chest, where Jake has it pinned down."
26,"Jake says Feeling good, buddy?"
27,Finn says I'm good. But this chump's about to get slain!
28,Jake says Struggling to keep the monster's arms restrained. Slay him quick. He's got crazy devil strength!
29,Finn says No prob. Here comes the slay...
30,"As Finn looks into the monster's eyes, he hallucinates the face of Fern superimposed over it."
31,"Fern face says Don't kill me, Finn."
32,Finn says Um... Here I go! Unconvincing enthusiasm Mathematical!
33,"Jake says Finn, are you doing the thing?"
34,Fern face says I'm your friend. I'm you.
35,"Finn says Jake, maybe you should slay this guy?"
36,"Jake says Aw, dude, you are doing the thing again!"
37,Fern face says I'm you!
38,The sound of a weed whacker begins to grow in volume.
39,Jake says Slay him!
40,"Suddenly, the scene cuts to a flashback. A time card reads ""That morning."" Finn and Princess Bubblegum are walking through the Candy Kingdom together, both wearing baseball kit."
41,Princess Bubblegum says Thanks again for coming out to coach. The jamboree's always a big morale boost for the troops.
42,"Finn says Yeah. It's, uh, a nice distraction."
43,Princess Bubblegum says Hmm. So how are you holding up after all the Fern stuff?
44,"Finn says It's been a rough month, PB. I know Fern was an angry guy who tried to kill me, but I still feel awful about the way he went. It's really messing with me."
45,"Princess Bubblegum says Oh, Finn, I'm so sorry. Death is no laughing mat- She suddenly slips on an oversized banana peel and comedically falls to the ground. She examines the sticker on the banana peel. Banana guard number 216?! Oh my glob, he's dead! She sees more peels, covered in brown ooze. This is a banana fudge massacre!"
46,A group of banana guards approach them in a panic.
47,Banana Guards says Together Princess?! Princess?!
48,"Princess Bubblegum says Guys, what happened?!"
49,Banana Guard says A terrible monster kidnapped squadron five!
50,"Another Banana Guard says It looked like a banana, but it peeled other bananas!"
51,"All says Together Traitor! Traitor! Traitor! Traitor! Traitor, traitor!"
52,"Princess Bubblegum says A banana and fudge monster?! That's candy tech. Okay, who's behind this? She turns to Finn. Finn! I need you and Jake to guard the barracks tonight. If this creep comes back and lays a finger on my guards, you show no mercy."
53,"Finn says Um... Yeah, I'll... do my best."
54,The flashback ends. Finn is still poised to strike down the monster. The buzzing of the weed whacker continues.
55,"Jake says Finn! Finn, stop showing mercy!"
56,"The monster manages to break Jake's grip and frees its hands, then kicks Finn off its chest."
57,"Finn says Oh, no! I dinked it!"
58,"The monster roars and shrieks at them, and then breaks through a wall and flees into the night. All the banana guards leap down from their bunks and begin running away in a panic. Jake is lying deflated on the ground."
59,"Finn says Jake, I'm sorry! I- I couldn't do it!"
60,"Jake says Pained Love you forever, man, but your guilt's hurting the team dynamics."
61,Finn says I know. I'm gonna go make it right! He exits in pursuit of the monster.
62,Jake says Cool. I'm gonna make peace with my aging body.
63,"Finn watches the monster run away into the night. He shakes himself and sets off in pursuit. He catches up, climbs onto the back of the monster's neck, and raises his sword."
64,"Finn says No mercy this time, banana boy! I don't care why you're doing this or if you have a... a tragic past. Fern's face appears again I don't care! I'm hard like that."
65,"Fern face says Don't kill me, Finn."
66,Finn says Growls Nope!
67,"He gives up, taking his sword away from the monster's neck. The monster notices him and screeches."
68,"Finn says Oh, gross!"
69,The monster headbutts him off its neck and into some nearby bushes.
70,Finn says What the heck is my problem?!
71,The monster turns and spits fudge at him.
72,"Finn says Aw, fudge!"
73,"It seems like the fudge is going to hit Finn, but it is deflected by a mysterious projectile and lands on the monster's own face."
74,Finn says Huh?! How'd I do that?!
75,"The monster retreats. Huntress Wizard suddenly appears next to Finn, hanging upside down from a tree."
76,"Huntress Wizard says Um, it's getting away."
